,method,band,rho,avg-dist,pval_hat,corrected pval_hat
0,CSS (CSM: ACC),$f_1$,0.1,0.023076528100794354,0.6159430137706366,1.0
1,CSS (CSM: ACC),$f_1$,0.2,0.020082179543843993,1.0,1.0
2,CSS (CSM: ACC),$f_1$,0.3,0.026806269319833927,1.0,1.0
3,CSS (CSM: ACC),$f_1$,0.4,0.022741702485223704,1.0,1.0
4,CSS (CSM: ACC),$f_1$,0.5,0.02644458731169256,1.0,1.0
5,CSS (CSM: ACC),$f_1$,0.6,0.02962084351418005,1.0,1.0
6,CSS (CSM: ACC),$f_1$,0.7,0.03887528657682855,0.0591148490128479,0.1531032060764406
7,CSS (CSM: ACC),$f_1$,0.8,0.11800644119173449,1.0124089216353692e-32,3.635055499887296e-32
8,CSS (CSM: ACC),$f_1$,0.9,0.41176474063113355,0.0,0.0
9,CSS (CSM: ACC),$f_1$,0.99,0.5809931934433762,0.0,0.0
10,CSS (CSM: ACC),$f_2$,0.1,0.025597781341095995,1.0,1.0
11,CSS (CSM: ACC),$f_2$,0.2,0.035707237427745044,1.0,1.0
12,CSS (CSM: ACC),$f_2$,0.3,0.0334192295847305,1.0,1.0
13,CSS (CSM: ACC),$f_2$,0.4,0.03283416064542618,1.0,1.0
14,CSS (CSM: ACC),$f_2$,0.5,0.03601467595007753,0.6306160057463168,1.0
15,CSS (CSM: ACC),$f_2$,0.6,0.05235346697522537,5.445757983502709e-06,1.581026511339496e-05
16,CSS (CSM: ACC),$f_2$,0.7,0.14020910271139841,2.0499009304204643e-36,7.607879741766672e-36
17,CSS (CSM: ACC),$f_2$,0.8,0.2826366466897355,0.0,0.0
18,CSS (CSM: ACC),$f_2$,0.9,0.460491104035234,0.0,0.0
19,CSS (CSM: ACC),$f_2$,0.99,0.601859999178333,0.0,0.0
20,CSS (CSM: ACC),$f_3$,0.1,0.024279107917044716,1.0,1.0
21,CSS (CSM: ACC),$f_3$,0.2,0.027522923520312242,1.0,1.0
22,CSS (CSM: ACC),$f_3$,0.3,0.02822374254365834,0.1671661590772048,0.4093865120258077
23,CSS (CSM: ACC),$f_3$,0.4,0.03350583108019722,1.0,1.0
24,CSS (CSM: ACC),$f_3$,0.5,0.04496467050703827,0.5311175564921298,1.0
25,CSS (CSM: ACC),$f_3$,0.6,0.0593619133285453,1.7032912923033697e-06,4.9852428067415695e-06
26,CSS (CSM: ACC),$f_3$,0.7,0.20377998750395648,2.6887227607049107e-99,1.2099252423172098e-98
27,CSS (CSM: ACC),$f_3$,0.8,0.41398111010203786,0.0,0.0
28,CSS (CSM: ACC),$f_3$,0.9,0.5893050415468196,0.0,0.0
29,CSS (CSM: ACC),$f_3$,0.99,0.70958352820714,0.0,0.0
30,CSS (CSM: ACC),$f_4$,0.1,0.03282217754688653,0.23635793716236955,0.5483999395712961
31,CSS (CSM: ACC),$f_4$,0.2,0.025209754817949258,0.3502713235227632,0.7736053771054893
32,CSS (CSM: ACC),$f_4$,0.3,0.03375615159503419,1.0,1.0
33,CSS (CSM: ACC),$f_4$,0.4,0.03267053781829111,0.810517327512043,1.0
34,CSS (CSM: ACC),$f_4$,0.5,0.037965855325302146,1.0,1.0
35,CSS (CSM: ACC),$f_4$,0.6,0.08361623048125397,3.063762250218233e-26,1.050432771503394e-25
36,CSS (CSM: ACC),$f_4$,0.7,0.2129307753630539,2.3561069856978397e-107,1.0874339933990029e-106
37,CSS (CSM: ACC),$f_4$,0.8,0.3983911621847965,0.0,0.0
38,CSS (CSM: ACC),$f_4$,0.9,0.5625676567238542,0.0,0.0
39,CSS (CSM: ACC),$f_4$,0.99,0.6751402867850927,0.0,0.0
40,CSS (CSM: ABW),$f_1$,0.1,0.02108246619399364,1.0,1.0
41,CSS (CSM: ABW),$f_1$,0.2,0.026693379792566706,1.0,1.0
42,CSS (CSM: ABW),$f_1$,0.3,0.025169648147426324,0.2254495181730965,0.5270248476773685
43,CSS (CSM: ABW),$f_1$,0.4,0.027434812047290702,0.20559105645635523,0.4934185354952525
44,CSS (CSM: ABW),$f_1$,0.5,0.029435927695956474,1.0,1.0
45,CSS (CSM: ABW),$f_1$,0.6,0.02705134395486902,1.0,1.0
46,CSS (CSM: ABW),$f_1$,0.7,0.028057129076100928,1.0,1.0
47,CSS (CSM: ABW),$f_1$,0.8,0.029166984446240007,1.0,1.0
48,CSS (CSM: ABW),$f_1$,0.9,0.03251527685827177,0.332529177073587,0.7435435015310019
49,CSS (CSM: ABW),$f_1$,0.99,0.15381262440078128,3.1250901888420667e-80,1.3393243666466e-79
50,CSS (CSM: ABW),$f_2$,0.1,0.02890806010785602,1.0,1.0
51,CSS (CSM: ABW),$f_2$,0.2,0.027762663076763804,1.0,1.0
52,CSS (CSM: ABW),$f_2$,0.3,0.0304092476353184,1.0,1.0
53,CSS (CSM: ABW),$f_2$,0.4,0.032524171630017355,0.5000046013416735,1.0
54,CSS (CSM: ABW),$f_2$,0.5,0.03684320088727185,1.0,1.0
55,CSS (CSM: ABW),$f_2$,0.6,0.033770814644248554,1.0,1.0
56,CSS (CSM: ABW),$f_2$,0.7,0.03200066510139568,0.7375553356147295,1.0
57,CSS (CSM: ABW),$f_2$,0.8,0.03880021377487517,1.0,1.0
58,CSS (CSM: ABW),$f_2$,0.9,0.06897670891482748,2.5500198748519576e-15,8.05269434163776e-15
59,CSS (CSM: ABW),$f_2$,0.99,0.28603740313719994,0.0,0.0
60,CSS (CSM: ABW),$f_3$,0.1,0.027683980397887185,1.0,1.0
61,CSS (CSM: ABW),$f_3$,0.2,0.026024199829647657,1.0,1.0
62,CSS (CSM: ABW),$f_3$,0.3,0.032902202595945854,1.0,1.0
63,CSS (CSM: ABW),$f_3$,0.4,0.03054798464287769,1.0,1.0
64,CSS (CSM: ABW),$f_3$,0.5,0.03739366288096724,1.0,1.0
65,CSS (CSM: ABW),$f_3$,0.6,0.031150065778622654,0.4681762502152995,1.0
66,CSS (CSM: ABW),$f_3$,0.7,0.029640293044903503,1.0,1.0
67,CSS (CSM: ABW),$f_3$,0.8,0.034088898153349804,0.008773391070947325,0.024869455004260133
68,CSS (CSM: ABW),$f_3$,0.9,0.031151777426848118,1.0,1.0
69,CSS (CSM: ABW),$f_3$,0.99,0.1354452736715504,2.2608264980300057e-65,9.248835673759115e-65
70,CSS (CSM: ABW),$f_4$,0.1,0.028616279560607832,1.0,1.0
71,CSS (CSM: ABW),$f_4$,0.2,0.030813947108705487,1.0,1.0
72,CSS (CSM: ABW),$f_4$,0.3,0.02795043695235366,1.0,1.0
73,CSS (CSM: ABW),$f_4$,0.4,0.03822750404072461,0.23763997381422833,0.5483999395712961
74,CSS (CSM: ABW),$f_4$,0.5,0.03429749377027951,0.320726098479179,0.7216337215781528
75,CSS (CSM: ABW),$f_4$,0.6,0.03469806673016524,0.09317077378285751,0.2378828266796362
76,CSS (CSM: ABW),$f_4$,0.7,0.02812698025357692,1.0,1.0
77,CSS (CSM: ABW),$f_4$,0.8,0.031850747796386025,0.36501681473516356,0.8012564225893835
78,CSS (CSM: ABW),$f_4$,0.9,0.06054388988288478,2.6664601403710394e-17,8.806657344344718e-17
79,CSS (CSM: ABW),$f_4$,0.99,0.2137022552410981,1.1072740478041766e-134,5.314915429460048e-134
80,CSS (CSM: AEV),$f_1$,0.1,0.02091097148989366,0.4776607388120328,1.0
81,CSS (CSM: AEV),$f_1$,0.2,0.026953845038995925,1.0,1.0
82,CSS (CSM: AEV),$f_1$,0.3,0.028206080169885545,1.0,1.0
83,CSS (CSM: AEV),$f_1$,0.4,0.02280473404377665,0.9374321419844809,1.0
84,CSS (CSM: AEV),$f_1$,0.5,0.02971932440394416,1.0,1.0
85,CSS (CSM: AEV),$f_1$,0.6,0.02696115281092992,1.0,1.0
86,CSS (CSM: AEV),$f_1$,0.7,0.02770454352443275,1.0,1.0
87,CSS (CSM: AEV),$f_1$,0.8,0.03372418280556276,1.0,1.0
88,CSS (CSM: AEV),$f_1$,0.9,0.030553460998242937,0.1583308796409916,0.3904049087038149
89,CSS (CSM: AEV),$f_1$,0.99,0.05124309345504179,1.8709463166573584e-09,5.660005663837387e-09
90,CSS (CSM: AEV),$f_2$,0.1,0.024606146569894568,1.0,1.0
91,CSS (CSM: AEV),$f_2$,0.2,0.032413830823239245,1.0,1.0
92,CSS (CSM: AEV),$f_2$,0.3,0.02983119179990255,0.3793584664939325,0.8276911996231255
93,CSS (CSM: AEV),$f_2$,0.4,0.03051425367147288,0.4289066293589302,0.9301589552362342
94,CSS (CSM: AEV),$f_2$,0.5,0.03234725975916048,0.5267295231293632,1.0
95,CSS (CSM: AEV),$f_2$,0.6,0.03585855652361396,1.0,1.0
96,CSS (CSM: AEV),$f_2$,0.7,0.038117698179057975,1.0,1.0
97,CSS (CSM: AEV),$f_2$,0.8,0.07918866445123765,4.967778527538878e-20,1.6559261758462927e-19
98,CSS (CSM: AEV),$f_2$,0.9,0.23574130156191386,6.008995522393189e-150,2.923295119002092e-149
99,CSS (CSM: AEV),$f_2$,0.99,0.4633896224794177,0.0,0.0
100,CSS (CSM: AEV),$f_3$,0.1,0.028416591723400407,1.0,1.0
101,CSS (CSM: AEV),$f_3$,0.2,0.027141336719203067,1.0,1.0
102,CSS (CSM: AEV),$f_3$,0.3,0.030748903361235057,1.0,1.0
103,CSS (CSM: AEV),$f_3$,0.4,0.027415680848225467,0.3463678063804424,0.7697062364009831
104,CSS (CSM: AEV),$f_3$,0.5,0.03196151349615403,1.0,1.0
105,CSS (CSM: AEV),$f_3$,0.6,0.031075165400066555,0.1935490152137457,0.4676352045432782
106,CSS (CSM: AEV),$f_3$,0.7,0.03567066495891776,0.019383733280525787,0.053268274664040334
107,CSS (CSM: AEV),$f_3$,0.8,0.03698624956752909,1.0,1.0
108,CSS (CSM: AEV),$f_3$,0.9,0.06114463271661227,1.6194913190687297e-09,4.9408209734300226e-09
109,CSS (CSM: AEV),$f_3$,0.99,0.3097871932687084,0.0,0.0
110,CSS (CSM: AEV),$f_4$,0.1,0.026148907503597912,0.6517572375097445,1.0
111,CSS (CSM: AEV),$f_4$,0.2,0.0336041140460154,0.2881519356297723,0.6565487140931521
112,CSS (CSM: AEV),$f_4$,0.3,0.026262807191239128,1.0,1.0
113,CSS (CSM: AEV),$f_4$,0.4,0.03514208866461053,1.0,1.0
114,CSS (CSM: AEV),$f_4$,0.5,0.03147053908618544,1.0,1.0
115,CSS (CSM: AEV),$f_4$,0.6,0.03673319568170851,1.0,1.0
116,CSS (CSM: AEV),$f_4$,0.7,0.02917851698941516,1.0,1.0
117,CSS (CSM: AEV),$f_4$,0.8,0.04114158501955011,1.0,1.0
118,CSS (CSM: AEV),$f_4$,0.9,0.09586527277038626,1.6098660895358448e-41,6.231739701429076e-41
119,CSS (CSM: AEV),$f_4$,0.99,0.28083842573544204,0.0,0.0
120,NMI,$f_1$,0.1,0.018496476403374196,1.0,1.0
121,NMI,$f_1$,0.2,0.01847922290214703,1.0,1.0
122,NMI,$f_1$,0.3,0.019611014811887446,1.0,1.0
123,NMI,$f_1$,0.4,0.01936715485746111,0.1045226696605529,0.2631339935510423
124,NMI,$f_1$,0.5,0.019874087359747054,1.0,1.0
125,NMI,$f_1$,0.6,0.019060075983779286,1.0,1.0
126,NMI,$f_1$,0.7,0.02286284283808799,1.0,1.0
127,NMI,$f_1$,0.8,0.02081208022452584,0.6743758646545525,1.0
128,NMI,$f_1$,0.9,0.022136615006478334,0.04426694943127093,0.11704701758975651
129,NMI,$f_1$,0.99,0.05865406918646169,3.499983663387663e-37,1.3263095987574301e-36
130,NMI,$f_2$,0.1,0.019729589519393433,1.0,1.0
131,NMI,$f_2$,0.2,0.01910645047936966,0.09465064009434239,0.23995936925326242
132,NMI,$f_2$,0.3,0.021144992911206684,0.01641465603023282,0.04545597054526011
133,NMI,$f_2$,0.4,0.020199019023552842,1.0,1.0
134,NMI,$f_2$,0.5,0.022587787873904384,1.0,1.0
135,NMI,$f_2$,0.6,0.021556963951530284,1.0,1.0
136,NMI,$f_2$,0.7,0.020400258332665167,1.0,1.0
137,NMI,$f_2$,0.8,0.02062553117570463,1.0,1.0
138,NMI,$f_2$,0.9,0.018208973800827477,0.15823674894686013,0.3904049087038149
139,NMI,$f_2$,0.99,0.020980012348580348,0.04454289280499067,0.11704701758975651
140,NMI,$f_3$,0.1,0.018694739307630544,1.0,1.0
141,NMI,$f_3$,0.2,0.019994557877601477,0.11767957575292753,0.29419893938231884
142,NMI,$f_3$,0.3,0.020187531986967183,1.0,1.0
143,NMI,$f_3$,0.4,0.02057486932675831,1.0,1.0
144,NMI,$f_3$,0.5,0.020038995927549662,1.0,1.0
145,NMI,$f_3$,0.6,0.02324514582044195,1.0,1.0
146,NMI,$f_3$,0.7,0.017739548603037406,0.2606059340608032,0.5975677468910137
147,NMI,$f_3$,0.8,0.019959336231401545,1.0,1.0
148,NMI,$f_3$,0.9,0.020789442412995213,0.48878992618502354,1.0
149,NMI,$f_3$,0.99,0.020940584155012196,1.0,1.0
150,NMI,$f_4$,0.1,0.020663997754046603,1.0,1.0
151,NMI,$f_4$,0.2,0.02043638280402476,1.0,1.0
152,NMI,$f_4$,0.3,0.02144862388249688,0.8507794427229876,1.0
153,NMI,$f_4$,0.4,0.020645621866041273,1.0,1.0
154,NMI,$f_4$,0.5,0.021377909202691017,0.03654586446917899,0.09745563858447731
155,NMI,$f_4$,0.6,0.02076885236477027,0.2133742248254125,0.5087067611731688
156,NMI,$f_4$,0.7,0.02068666336881437,1.0,1.0
157,NMI,$f_4$,0.8,0.019470870468591778,1.0,1.0
158,NMI,$f_4$,0.9,0.017634821292504523,1.0,1.0
159,NMI,$f_4$,0.99,0.02057369403765067,0.014931858454427665,0.041670302663519065
160,ALE,$f_1$,0.1,0.0011643626542163798,1.0,1.0
161,ALE,$f_1$,0.2,0.0013674917644107257,0.7683421034837153,1.0
162,ALE,$f_1$,0.3,0.0010164996703613475,0.22118356175505394,0.5204319100118916
163,ALE,$f_1$,0.4,0.0012248809426675634,1.0,1.0
164,ALE,$f_1$,0.5,0.00169145681076628,1.0,1.0
165,ALE,$f_1$,0.6,0.0015700522051829962,0.08508058508335495,0.21877864735719843
166,ALE,$f_1$,0.7,0.0016036836925823223,0.005468265920581233,0.01562361691594638
167,ALE,$f_1$,0.8,0.0020776602503997394,1.0,1.0
168,ALE,$f_1$,0.9,0.007442610182679379,1.0,1.0
169,ALE,$f_1$,0.99,0.025912522182245427,1.0,1.0
170,ALE,$f_2$,0.1,0.001394570165673954,1.0,1.0
171,ALE,$f_2$,0.2,0.0013980965799187165,1.0,1.0
172,ALE,$f_2$,0.3,0.0016075768203737473,0.5839603555707034,1.0
173,ALE,$f_2$,0.4,0.0017412144129357449,1.0,1.0
174,ALE,$f_2$,0.5,0.0018574858069330127,0.010720332446768599,0.03015093500653668
175,ALE,$f_2$,0.6,0.0023186923259604815,1.0,1.0
176,ALE,$f_2$,0.7,0.00315094072282219,1.791116043882074e-07,5.328940295847493e-07
177,ALE,$f_2$,0.8,0.004662716334078135,7.208284617156808e-17,2.359074965614955e-16
178,ALE,$f_2$,0.9,0.004929498065967992,6.4611882769975235e-16,2.076810517606347e-15
179,ALE,$f_2$,0.99,0.006203440888205062,2.552550762450608e-24,8.669040325303952e-24
180,ALE,$f_3$,0.1,0.001247049155532383,1.0,1.0
181,ALE,$f_3$,0.2,0.0015213468204020733,0.0007634355296861041,0.00219869432549598
182,ALE,$f_3$,0.3,0.0019208379700950899,4.6186990976941087e-14,1.4333893751464473e-13
183,ALE,$f_3$,0.4,0.0032421392834526596,1.725016593915864e-28,5.971211286631838e-28
184,ALE,$f_3$,0.5,0.00638807641215424,7.4286362894537e-115,3.518827716057016e-114
185,ALE,$f_3$,0.6,0.011933374176425109,0.0,0.0
186,ALE,$f_3$,0.7,0.020853816890440243,0.0,0.0
187,ALE,$f_3$,0.8,0.03193927998778372,0.0,0.0
188,ALE,$f_3$,0.9,0.04148914449716029,0.0,0.0
189,ALE,$f_3$,0.99,0.041717170062117795,0.0,0.0
190,ALE,$f_4$,0.1,0.0013420186561024002,1.0,1.0
